Nazwa oferty,Link oferty pracy,Który link,Data
Tester Oprogramowania,"https://www.pracuj.pl/praca/tester-oprogramowania-dolnoslaskie,oferta,8241417",Inne,opublikowana: 28 lipca 2021
Software Developer,"https://www.pracuj.pl/praca/software-developer-dolnoslaskie,oferta,8227614",Inne,opublikowana: 28 lipca 2021
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-kujawsko-pomorskie,oferta,8224408",Inne,opublikowana: 28 lipca 2021
IT Project Manager - IT Integration Manager,"https://www.pracuj.pl/praca/it-project-manager-it-integration-manager-gdansk,oferta,500125681",Inne,opublikowana: 27 lipca 2021
Konsultant ds. Programowania Devops,"https://www.pracuj.pl/praca/konsultant-ds-programowania-devops-mazowieckie,oferta,8267213",Inne,opublikowana: 27 lipca 2021
Tester/-ka automatyzuj¹cy/-a,"https://www.pracuj.pl/praca/tester-ka-automatyzujacy-a-warszawa,oferta,1001050087",Inne,opublikowana: 27 lipca 2021
Azure Data / ETL Developer,"https://www.pracuj.pl/praca/azure-data-etl-developer-warszawa,oferta,1001085721",Inne,opublikowana: 27 lipca 2021
Business Analyst,"https://www.pracuj.pl/praca/business-analyst-warszawa,oferta,1001069099",Inne,opublikowana: 27 lipca 2021
IT Support Agent with Danish,"https://www.pracuj.pl/praca/it-support-agent-with-danish-katowice,oferta,1001058963",Inne,opublikowana: 27 lipca 2021
Senior Azure Data /ETL Developer,"https://www.pracuj.pl/praca/senior-azure-data-etl-developer-warszawa,oferta,1001085660",Inne,opublikowana: 27 lipca 2021
Security Specialist - Configuration Compliance Scanning - IT Center,"https://www.pracuj.pl/praca/security-specialist-configuration-compliance-scanning-it-center-czestochowa,oferta,1001058406",Inne,opublikowana: 27 lipca 2021
M³odszy Programista Embedded - M³odszy Specjalista FPGA - rynek wojskowy i cywilny ,"https://www.pracuj.pl/praca/mlodszy-programista-embedded-mlodszy-specjalista-fpga-rynek-wojskowy-i-cywilny-warszawa,oferta,1001085223",Inne,opublikowana: 27 lipca 2021
Tester Manualny,"https://www.pracuj.pl/praca/tester-manualny-wroclaw,oferta,1001055599",Inne,opublikowana: 27 lipca 2021
Software Engineer - PHP,"https://www.pracuj.pl/praca/software-engineer-php-dolnoslaskie,oferta,8237865",Inne,opublikowana: 27 lipca 2021
Analityk Biznesowy (IT),"https://www.pracuj.pl/praca/analityk-biznesowy-it-warszawa,oferta,1001084456",Inne,opublikowana: 27 lipca 2021
Java Software Engineer II,"https://www.pracuj.pl/praca/java-software-engineer-ii-katowice,oferta,1001047649",Inne,opublikowana: 27 lipca 2021
Analityk Biznesowy,"https://www.pracuj.pl/praca/analityk-biznesowy-warszawa,oferta,1001094835",Inne,opublikowana: 27 lipca 2021
Data Analysta with Business drive,"https://www.pracuj.pl/praca/data-analysta-with-business-drive-lublin,oferta,1001094816",Inne,opublikowana: 27 lipca 2021
Praktykant w obszarze Data Labelling z jêzykiem holenderskim lub szwedzkim,"https://www.pracuj.pl/praca/praktykant-w-obszarze-data-labelling-z-jezykiem-holenderskim-lub-szwedzkim-lodz,oferta,1001056803",Inne,opublikowana: 26 lipca 2021
Tester gier - Doradca,"https://www.pracuj.pl/praca/tester-gier-doradca-warszawa,oferta,500127471",Inne,opublikowana: 26 lipca 2021
Training & Quality Assurance Specialist with German (IT Service Desk),"https://www.pracuj.pl/praca/training-quality-assurance-specialist-with-german-it-service-desk-krakow,oferta,1001076973",Inne,opublikowana: 26 lipca 2021
Assistant Team Leader with German (IT Service Desk),"https://www.pracuj.pl/praca/assistant-team-leader-with-german-it-service-desk-krakow,oferta,1001076982",Inne,opublikowana: 26 lipca 2021
IT Service Desk Manager with German,"https://www.pracuj.pl/praca/it-service-desk-manager-with-german-krakow,oferta,1001076994",Inne,opublikowana: 26 lipca 2021
Ecommerce Content Strategist,"https://www.pracuj.pl/praca/ecommerce-content-strategist-warszawa,oferta,1001055535",Inne,opublikowana: 26 lipca 2021
IT Network Engineer - 2nd Level Support (m/w/d) ,"https://www.pracuj.pl/praca/it-network-engineer-2nd-level-support-m-w-d-germany,oferta,8215698",Inne,opublikowana: 26 lipca 2021
Administrator IT,"https://www.pracuj.pl/praca/administrator-it-dolnoslaskie,oferta,8218995",Inne,opublikowana: 26 lipca 2021
Security Test Engineer,"https://www.pracuj.pl/praca/security-test-engineer-zielona-gora,oferta,1001066891",Inne,opublikowana: 26 lipca 2021
Senior Software Integration Engineer,"https://www.pracuj.pl/praca/senior-software-integration-engineer-krakow,oferta,1001050377",Inne,opublikowana: 26 lipca 2021
Tester oprogramowania ,"https://www.pracuj.pl/praca/tester-oprogramowania-krakow,oferta,1001048134",Inne,opublikowana: 25 lipca 2021
Analityk Finansowy,"https://www.pracuj.pl/praca/analityk-finansowy-warszawa,oferta,1001052742",Inne,opublikowana: 25 lipca 2021
Software Developer (C++),"https://www.pracuj.pl/praca/software-developer-c++-jasionka-pow-rzeszowski,oferta,1001050072",Inne,opublikowana: 24 lipca 2021
Konsultant ds. obs³ugi kandydata z niemieckim i angielskim / czêœæ etatu,"https://www.pracuj.pl/praca/konsultant-ds-obslugi-kandydata-z-niemieckim-i-angielskim-czesc-etatu-dolnoslaskie,oferta,8228006",Inne,opublikowana: 24 lipca 2021
Starszy Programista - Developer C# lub ASP.NET,"https://www.pracuj.pl/praca/starszy-programista-developer-c%23-lub-asp-net-jelenia-gora,oferta,1001072197",Inne,opublikowana: 24 lipca 2021
Specjalista ds. Analizy Danych Ryzyka Klientów MSP i AGRO,"https://www.pracuj.pl/praca/specjalista-ds-analizy-danych-ryzyka-klientow-msp-i-agro-poznan,oferta,1001066696",Inne,opublikowana: 1 sierpnia 2021
Junior Pentester (M³odszy Specjalista/M³odsza Specjalistka),"https://www.pracuj.pl/praca/junior-pentester-mlodszy-specjalista-mlodsza-specjalistka-warszawa,oferta,1001072125",Inne,opublikowana: 1 sierpnia 2021
Securities Operations Junior Analyst,"https://www.pracuj.pl/praca/securities-operations-junior-analyst-krakow,oferta,1001081347",Inne,opublikowana: 1 sierpnia 2021
M³odszy Analityk Dokumentowy ,"https://www.pracuj.pl/praca/mlodszy-analityk-dokumentowy-bialystok,oferta,1001098578",Inne,opublikowana: 1 sierpnia 2021
Data Analyst (US time),"https://www.pracuj.pl/praca/data-analyst-us-time-lower-silesia,oferta,8238800",Inne,opublikowana: 1 sierpnia 2021
M³odszy Konsultant PP – programista ABAP,"https://www.pracuj.pl/praca/mlodszy-konsultant-pp-programista-abap-poznan,oferta,1001068215",Inne,opublikowana: 1 sierpnia 2021
M³odszy Specjalista w Dziale Planowania i Analiz,"https://www.pracuj.pl/praca/mlodszy-specjalista-w-dziale-planowania-i-analiz-sopot,oferta,1001097890",Inne,opublikowana: 1 sierpnia 2021
Decode IT 2.0: CodeBreaker – Konkurs dla programistów i programistek,"https://www.pracuj.pl/praca/decode-it-2-0-codebreaker-konkurs-dla-programistow-i-programistek-dolnoslaskie,oferta,8102826",Inne,opublikowana: 1 sierpnia 2021
Programista Angular,"https://www.pracuj.pl/praca/programista-angular-gdansk,oferta,1001064654",Inne,opublikowana: 1 sierpnia 2021
Junior IT Administrator,"https://www.pracuj.pl/praca/junior-it-administrator-katowice,oferta,1001089363",Inne,opublikowana: 1 sierpnia 2021
M³odszy Analityk Finansowy,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-warszawa,oferta,1001079142",Inne,opublikowana: 1 sierpnia 2021
M³odszy/a Specjalista/ka ds. Kontrolingu Kontentu i Analiz,"https://www.pracuj.pl/praca/mlodszy-a-specjalista-ka-ds-kontrolingu-kontentu-i-analiz-krakow,oferta,1001067202",Inne,opublikowana: 1 sierpnia 2021
IT Recruiter Specialist,"https://www.pracuj.pl/praca/it-recruiter-specialist-warszawa,oferta,1001088699",Inne,opublikowana: 1 sierpnia 2021
Junior Security Analyst,"https://www.pracuj.pl/praca/junior-security-analyst-warszawa,oferta,1001104498",Inne,opublikowana: 1 sierpnia 2021
z/OS C Software developer,"https://www.pracuj.pl/praca/z-os-c-software-developer-katowice,oferta,1001104501",Inne,opublikowana: 1 sierpnia 2021
Junior Reward & People Operations Analyst,"https://www.pracuj.pl/praca/junior-reward-people-operations-analyst-wroclaw,oferta,1001062935",Inne,opublikowana: 31 lipca 2021
Tester Automatyzuj¹cy,"https://www.pracuj.pl/praca/tester-automatyzujacy-wroclaw,oferta,1001088330",Inne,opublikowana: 31 lipca 2021
M³odszy Administrator IT,"https://www.pracuj.pl/praca/mlodszy-administrator-it-zaczernie-pow-rzeszowski,oferta,1001062137",Inne,opublikowana: 31 lipca 2021
Contract Analyst (1 year fixed-term contract),"https://www.pracuj.pl/praca/contract-analyst-1-year-fixed-term-contract-wroclaw,oferta,1001095871",Inne,opublikowana: 31 lipca 2021
Junior Product System Integration Test Engineer ,"https://www.pracuj.pl/praca/junior-product-system-integration-test-engineer-krakow,oferta,1001065625",Inne,opublikowana: 31 lipca 2021
Akademia Programisty,"https://www.pracuj.pl/praca/akademia-programisty-warszawa,oferta,1001089849",Inne,opublikowana: 31 lipca 2021
M³odszy Specjalista ds. Wsparcia IT ,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-wsparcia-it-brwinow,oferta,1001087069",Inne,opublikowana: 31 lipca 2021
Data Labelling Specialist,"https://www.pracuj.pl/praca/data-labelling-specialist-lodz,oferta,1001064114",Inne,opublikowana: 31 lipca 2021
Junior Test Specialist,"https://www.pracuj.pl/praca/junior-test-specialist-gdansk,oferta,1001104307",Inne,opublikowana: 31 lipca 2021
Junior Management Accounting & Reporting Analyst,"https://www.pracuj.pl/praca/junior-management-accounting-reporting-analyst-krakow,oferta,1001104351",Inne,opublikowana: 31 lipca 2021
Junior Python Developer,"https://www.pracuj.pl/praca/junior-python-developer-warszawa,oferta,1001088841",Inne,opublikowana: 30 lipca 2021
Junior E-commerce Specialist with French (m/f),"https://www.pracuj.pl/praca/junior-e-commerce-specialist-with-french-m-f-warszawa,oferta,1001094150",Inne,opublikowana: 30 lipca 2021
M³odszy Specjalista ds. IT,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-it-warszawa,oferta,1001088263",Inne,opublikowana: 30 lipca 2021
M³odszy/a specjalista/ka ds. analiz i optymalizacji procesów,"https://www.pracuj.pl/praca/mlodszy-a-specjalista-ka-ds-analiz-i-optymalizacji-procesow-lodz,oferta,1001093901",Inne,opublikowana: 30 lipca 2021
FP&A (Financial Planning & Analysis) Working Student,"https://www.pracuj.pl/praca/fp-a-financial-planning-analysis-working-student-warszawa,oferta,1001103547",Inne,opublikowana: 30 lipca 2021
IT Service Desk Specialist,"https://www.pracuj.pl/praca/it-service-desk-specialist-poznan,oferta,1001103480",Inne,opublikowana: 30 lipca 2021
Specjalista ds. Migracji Baz Danych,"https://www.pracuj.pl/praca/specjalista-ds-migracji-baz-danych-mazowieckie,oferta,8254660",Inne,opublikowana: 30 lipca 2021
Junior Analyst Programmer,"https://www.pracuj.pl/praca/junior-analyst-programmer-warszawa,oferta,1001057530",Inne,opublikowana: 30 lipca 2021
M³odsza Specjalistka/ M³odszy Specjalista ds. analiz ,"https://www.pracuj.pl/praca/mlodsza-specjalistka-mlodszy-specjalista-ds-analiz-gdansk,oferta,1001072390",Inne,opublikowana: 30 lipca 2021
M³odszy Specjalista ds. Weryfikacji Danych,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-weryfikacji-danych-poznan,oferta,1001102821",Inne,opublikowana: 30 lipca 2021
Test Automation Engineer ,"https://www.pracuj.pl/praca/test-automation-engineer-warszawa,oferta,1001092357",Inne,opublikowana: 30 lipca 2021
IAM Analyst (IT Compliance and Security),"https://www.pracuj.pl/praca/iam-analyst-it-compliance-and-security-warszawa,oferta,1001092354",Inne,opublikowana: 30 lipca 2021
Financial System Tester with German ,"https://www.pracuj.pl/praca/financial-system-tester-with-german-warszawa,oferta,1001092351",Inne,opublikowana: 30 lipca 2021
Business Analyst,"https://www.pracuj.pl/praca/business-analyst-warszawa,oferta,1001092329",Inne,opublikowana: 30 lipca 2021
M³odszy Analityk z Jêzykiem Niemieckim w Dziale Aktuarialnym,"https://www.pracuj.pl/praca/mlodszy-analityk-z-jezykiem-niemieckim-w-dziale-aktuarialnym-warszawa,oferta,1001087020",Inne,opublikowana: 30 lipca 2021
Junior Logistics Coordinator (Trainee program),"https://www.pracuj.pl/praca/junior-logistics-coordinator-trainee-program-gdansk,oferta,1001084297",Inne,opublikowana: 30 lipca 2021
Junior Application Security Analyst,"https://www.pracuj.pl/praca/junior-application-security-analyst-lodz,oferta,1001101220",Inne,opublikowana: 29 lipca 2021
M³odszy Specjalista ds. Aplikacji IT SAP,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-aplikacji-it-sap-brzeznica-pow-debicki,oferta,1001072666",Inne,opublikowana: 29 lipca 2021
Junior Data Reviewer with English and Turkish,"https://www.pracuj.pl/praca/junior-data-reviewer-with-english-and-turkish-warszawa,oferta,1001090127",Inne,opublikowana: 29 lipca 2021
M³odszy Programista C#/.NET,"https://www.pracuj.pl/praca/mlodszy-programista-c%23-net-lublin,oferta,1001100887",Inne,opublikowana: 29 lipca 2021
M³odszy specjalista ds. analiz,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-analiz-warszawa,oferta,1001100116",Inne,opublikowana: 29 lipca 2021
Junior IT Talent Acquisition Specialist,"https://www.pracuj.pl/praca/junior-it-talent-acquisition-specialist-katowice,oferta,1001055877",Inne,opublikowana: 29 lipca 2021
Junior Intercompany Analyst,"https://www.pracuj.pl/praca/junior-intercompany-analyst-krakow,oferta,1001100337",Inne,opublikowana: 29 lipca 2021
Associate Analyst - Settlement Operations,"https://www.pracuj.pl/praca/associate-analyst-settlement-operations-warszawa,oferta,1001055084",Inne,opublikowana: 29 lipca 2021
IT Recruitment Specialist,"https://www.pracuj.pl/praca/it-recruitment-specialist-warszawa,oferta,1001060448",Inne,opublikowana: 29 lipca 2021
M³odszy Analityk Finansowy,"https://www.pracuj.pl/praca/mlodszy-analityk-finansowy-sochaczew,oferta,1001098917",Inne,opublikowana: 28 lipca 2021
Junior Sales Consultant for IT Player with Polish,"https://www.pracuj.pl/praca/junior-sales-consultant-for-it-player-with-polish-czech-republic,oferta,8269600",Inne,opublikowana: 28 lipca 2021
m³odszy specjalista ds. wsparcia IT,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-wsparcia-it-strykow,oferta,1001098696",Inne,opublikowana: 28 lipca 2021
Junior Software Developer,"https://www.pracuj.pl/praca/junior-software-developer-bydgoszcz,oferta,1001074012",Inne,opublikowana: 28 lipca 2021
M³odszy Konsultant IT - SAP Basis,"https://www.pracuj.pl/praca/mlodszy-konsultant-it-sap-basis-poznan,oferta,1001098286",Inne,opublikowana: 28 lipca 2021
Junior E-Commerce Key Account Manager,"https://www.pracuj.pl/praca/junior-e-commerce-key-account-manager-dolnoslaskie,oferta,8269021",Inne,opublikowana: 28 lipca 2021
Credit & Collections Analyst with Italian,"https://www.pracuj.pl/praca/credit-collections-analyst-with-italian-warszawa,oferta,1001058194",Inne,opublikowana: 28 lipca 2021
Analityk Sprzeda¿y (k/m),"https://www.pracuj.pl/praca/analityk-sprzedazy-k-m-warszawa,oferta,1001098240",Inne,opublikowana: 28 lipca 2021
Junior Recruitment Analyst,"https://www.pracuj.pl/praca/junior-recruitment-analyst-krakow,oferta,1001053355",Inne,opublikowana: 28 lipca 2021
Analityk zg³oszeñ serwisowych ze znajomoœci¹ jêzyka angielskiego i francuskiego/niemieckiego,"https://www.pracuj.pl/praca/analityk-zgloszen-serwisowych-ze-znajomoscia-jezyka-angielskiego-i-francuskiego-bydgoszcz,oferta,1001082801",Inne,opublikowana: 28 lipca 2021
Junior Software Developer dzia³u R&D,"https://www.pracuj.pl/praca/junior-software-developer-dzialu-r-d-dolnoslaskie,oferta,8268737",Inne,opublikowana: 28 lipca 2021
Junior Salesforce Developer - program szkoleniowy,"https://www.pracuj.pl/praca/junior-salesforce-developer-program-szkoleniowy-bialystok,oferta,1001087605",Inne,opublikowana: 28 lipca 2021
Junior VAT Compliance Analyst,"https://www.pracuj.pl/praca/junior-vat-compliance-analyst-szczecin,oferta,1001060920",Inne,opublikowana: 28 lipca 2021
IT Audit Support Analyst (FIS University Program),"https://www.pracuj.pl/praca/it-audit-support-analyst-fis-university-program-warszawa,oferta,1001080305",Inne,opublikowana: 28 lipca 2021
Specjalista w Zespole wsparcia IT,"https://www.pracuj.pl/praca/specjalista-w-zespole-wsparcia-it-lodz,oferta,1001097699",Inne,opublikowana: 28 lipca 2021
M³odszy analityk ds. mediów reklamowych ,"https://www.pracuj.pl/praca/mlodszy-analityk-ds-mediow-reklamowych-warszawa,oferta,1001060381",Inne,opublikowana: 28 lipca 2021
Tester Oprogramowania,"https://www.pracuj.pl/praca/tester-oprogramowania-poznan,oferta,1001097100",Inne,opublikowana: 28 lipca 2021
M³odszy Specjalista ds. Analiz i Statystyki,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-analiz-i-statystyki-warszawa,oferta,1001057508",Inne,opublikowana: 28 lipca 2021
M³odszy Specjalista ds. Raportowania i Analiz,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-raportowania-i-analiz-kielce,oferta,1001067189",Inne,opublikowana: 28 lipca 2021
Product Analyst,"https://www.pracuj.pl/praca/product-analyst-warszawa,oferta,1001057504",Inne,opublikowana: 28 lipca 2021
Specjalista ds. e-commerce,"https://www.pracuj.pl/praca/specjalista-ds-e-commerce-koszalin,oferta,1001086788",Inne,opublikowana: 28 lipca 2021
Administrator / M³odszy Specjalista ds. IT,"https://www.pracuj.pl/praca/administrator-mlodszy-specjalista-ds-it-brzeznica-pow-debicki,oferta,1001066832",Inne,opublikowana: 28 lipca 2021
Junior IT Recruitment Consultant	,"https://www.pracuj.pl/praca/junior-it-recruitment-consultant-gdansk,oferta,1001096678",Inne,opublikowana: 28 lipca 2021
M³odszy Specjalista ds. Analiz i Taktyk Cenowych,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-analiz-i-taktyk-cenowych-warszawa,oferta,1001096522",Inne,opublikowana: 27 lipca 2021
M³odszy specjalista ds. ochrony danych osobowych,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-ochrony-danych-osobowych-gniew,oferta,1001096520",Inne,opublikowana: 27 lipca 2021
Junior w IT - Miêdzynarodowy Program Talentowy,"https://www.pracuj.pl/praca/junior-w-it-miedzynarodowy-program-talentowy-katowice,oferta,1001095856",Inne,opublikowana: 27 lipca 2021
Tester Oprogramowania,"https://www.pracuj.pl/praca/tester-oprogramowania-gdynia,oferta,1001081046",Inne,opublikowana: 1 sierpnia 2021
In¿ynier Testów - Developer C,"https://www.pracuj.pl/praca/inzynier-testow-developer-c-bialystok,oferta,1001080660",Inne,opublikowana: 1 sierpnia 2021
M³odszy Tester Algorytmów ,"https://www.pracuj.pl/praca/mlodszy-tester-algorytmow-lodz,oferta,1001089672",Inne,opublikowana: 1 sierpnia 2021
Praktykant w w zespole Data Engineering,"https://www.pracuj.pl/praca/praktykant-w-w-zespole-data-engineering-warszawa,oferta,1001056876",Inne,opublikowana: 30 lipca 2021
In¿ynier Testowania (Python),"https://www.pracuj.pl/praca/inzynier-testowania-python-czestochowa,oferta,1001101927",Czêstochowa,opublikowana: 30 lipca 2021
Python Developer Working Student,"https://www.pracuj.pl/praca/python-developer-working-student-wroclaw,oferta,1001066722",Inne,opublikowana: 29 lipca 2021
Integration & Testing Working Student,"https://www.pracuj.pl/praca/integration-testing-working-student-wroclaw,oferta,1001066713",Inne,opublikowana: 29 lipca 2021
Python Developer - Virtualo,"https://www.pracuj.pl/praca/python-developer-virtualo-warszawa,oferta,1001050339",Inne,opublikowana: 25 lipca 2021
M³odszy Specjalista ds. Planowania i Analiz,"https://www.pracuj.pl/praca/mlodszy-specjalista-ds-planowania-i-analiz-warszawa,oferta,1001091312",Inne,opublikowana: 25 lipca 2021
In¿ynier Testowania (LabView),"https://www.pracuj.pl/praca/inzynier-testowania-labview-czestochowa,oferta,1001074362",Czêstochowa,opublikowana: 24 lipca 2021
Programista Python,"https://www.pracuj.pl/praca/programista-python-czestochowa,oferta,1001049342",Czêstochowa,opublikowana: 24 lipca 2021
Junior Embedded Tester ,"https://www.pracuj.pl/praca/junior-embedded-tester-gliwice,oferta,1001073166",Inne,opublikowana: 24 lipca 2021
Junior Python Developer,"https://www.pracuj.pl/praca/junior-python-developer-warszawa,oferta,1001060201",Inne,opublikowana: 24 lipca 2021
Python Developer,"https://www.pracuj.pl/praca/python-developer-tajecina-pow-rzeszowski,oferta,1001072168",Inne,opublikowana: 23 lipca 2021
